name,data_type,bit_length
ENG_XTS_HDR_SCID,uint,8
ENG_XTS_HDR_FILL1,uint,1
ENG_XTS_HDR_FLASH_BLOCK,uint,15
ENG_XTS_HDR_FILL2,uint,2
ENG_XTS_HDR_TIME_QUALITY,uint,2
ENG_XTS_HDR_USEC,uint,20
ENG_XTS_HDR_SEC,uint,32
SBTX_POWER_AUTO,uint,32
SBTX_SYM_RATE,uint,64
SBTX_LINK_STATE_NAME,uint,160
SBTX_FLEN,uint,32
SBTX_MOD_TYPE,uint,160
SBTX_SPREAD_CODE,uint,32
SBTX_SPREAD_FAMILY,uint,160
SBTX_SEARCH_RANGE,uint,64
SBTX_LINK_STATE,uint,32
SBTX_RATE,uint,64
SBTX_LINE_CODE,uint,160
SBTX_HD_STATE,uint,32
SBTX_SUBFREQ,uint,64
SBTX_PORT,uint,32
SBTX_HD_THRESHOLD,uint,32
SBTX_ASM_BYPASS,uint,32
SBTX_COMPRESSION,uint,64
SBTX_IMOD,uint,64
SBTX_POWER_VALID,uint,32
SBTX_SPACECRAFT_ID,uint,32
SBTX_FILT_CUTOFF,uint,64
SBTX_IDLE_PATTERN,uint,32
SBTX_HD_WAIT,uint,32
SBTX_POWER_SERVO,uint,32
SBTX_SCRAM,uint,160
SBTX_GAIN_VALID,uint,32
SBTX_TYPE,uint,160
SBTX_ORATE,uint,64
SBTX_OCODE,uint,160
SBTX_FS,uint,64
SBTX_AUTO_TIMEOUT,uint,32
SBTX_POWER,uint,64
SBTX_FORMAT,uint,160
SBTX_HD_ENABLE,uint,32
SBTX_AUTO,uint,32
SBTX_PRE_LENGTH,uint,32
SBTX_IDLE_TIMEOUT,uint,32
SBTX_ICODE,uint,160
SBTX_SERVO,uint,32
SBTX_GAIN,uint,64
SBTX_TEST_MODE,uint,32
SBTX_IDLE_MODE,uint,160
SBTX_IDLE_ENABLED,uint,32
SBTX_FREQ,uint,64
SBTX_FILT_TYPE,uint,160
SBTX_IDLE_COUNT,uint,32
SBTX_SRC,uint,160
SBTX_INVERSION,uint,64
SBTX_AUTO_PAUSE,uint,32
SBTX_ASM_ATTACH,uint,32
SBTX_OPEN_COUNT,uint,32
SBTX_SPREAD_FACTOR,uint,32
SBTX_BANDWIDTH,uint,64
SBTX_IRATE,uint,64
SBTX_INTERLEAVE,uint,32
SBTX_CMAP,uint,160
SBTX_COMPRESSION_VALID,uint,32
SBTX_PRE_PACKET,uint,160
SBTX_AUTO_PAUSE_DELAY,uint,32
SBTX_ASM,uint,160
XBTX_POWER_AUTO,uint,32
XBTX_SYM_RATE,uint,64
XBTX_LINK_STATE_NAME,uint,160
XBTX_FLEN,uint,32
XBTX_MOD_TYPE,uint,160
XBTX_SPREAD_CODE,uint,32
XBTX_SPREAD_FAMILY,uint,160
XBTX_SEARCH_RANGE,uint,64
XBTX_LINK_STATE,uint,32
XBTX_RATE,uint,64
XBTX_LINE_CODE,uint,160
XBTX_HD_STATE,uint,32
XBTX_SUBFREQ,uint,64
XBTX_PORT,uint,32
XBTX_HD_THRESHOLD,uint,32
XBTX_ASM_BYPASS,uint,32
XBTX_COMPRESSION,uint,64
XBTX_IMOD,uint,64
XBTX_POWER_VALID,uint,32
XBTX_SPACECRAFT_ID,uint,32
XBTX_FILT_CUTOFF,uint,64
XBTX_IDLE_PATTERN,uint,32
XBTX_HD_WAIT,uint,32
XBTX_POWER_SERVO,uint,32
XBTX_SCRAM,uint,160
XBTX_GAIN_VALID,uint,32
XBTX_TYPE,uint,160
XBTX_ORATE,uint,64
XBTX_OCODE,uint,160
XBTX_FS,uint,64
XBTX_AUTO_TIMEOUT,uint,32
XBTX_POWER,uint,64
XBTX_FORMAT,uint,160
XBTX_HD_ENABLE,uint,32
XBTX_AUTO,uint,32
XBTX_PRE_LENGTH,uint,32
XBTX_IDLE_TIMEOUT,uint,32
XBTX_ICODE,uint,160
XBTX_SERVO,uint,32
XBTX_GAIN,uint,64
XBTX_TEST_MODE,uint,32
XBTX_IDLE_MODE,uint,160
XBTX_IDLE_ENABLED,uint,32
XBTX_FREQ,uint,64
XBTX_FILT_TYPE,uint,160
XBTX_IDLE_COUNT,uint,32
XBTX_SRC,uint,160
XBTX_INVERSION,uint,64
XBTX_AUTO_PAUSE,uint,32
XBTX_ASM_ATTACH,uint,32
XBTX_OPEN_COUNT,uint,32
XBTX_SPREAD_FACTOR,uint,32
XBTX_BANDWIDTH,uint,64
XBTX_IRATE,uint,64
XBTX_INTERLEAVE,uint,32
XBTX_CMAP,uint,160
XBTX_COMPRESSION_VALID,uint,32
XBTX_PRE_PACKET,uint,160
XBTX_AUTO_PAUSE_DELAY,uint,32
XBTX_ASM,uint,160
SBRX_POWER_AUTO,uint,32
SBRX_SYM_RATE,uint,64
SBRX_LINK_STATE_NAME,uint,160
SBRX_FLEN,uint,32
SBRX_MOD_TYPE,uint,160
SBRX_SPREAD_CODE,uint,32
SBRX_SPREAD_FAMILY,uint,160
SBRX_SEARCH_RANGE,uint,64
SBRX_LINK_STATE,uint,32
SBRX_RATE,uint,64
SBRX_LINE_CODE,uint,160
SBRX_HD_STATE,uint,32
SBRX_SUBFREQ,uint,64
SBRX_PORT,uint,32
SBRX_HD_THRESHOLD,uint,32
SBRX_ASM_BYPASS,uint,32
SBRX_COMPRESSION,uint,64
SBRX_IMOD,uint,64
SBRX_POWER_VALID,uint,32
SBRX_SPACECRAFT_ID,uint,32
SBRX_FILT_CUTOFF,uint,64
SBRX_IDLE_PATTERN,uint,32
SBRX_HD_WAIT,uint,32
SBRX_POWER_SERVO,uint,32
SBRX_SCRAM,uint,160
SBRX_GAIN_VALID,uint,32
SBRX_TYPE,uint,160
SBRX_ORATE,uint,64
SBRX_OCODE,uint,160
SBRX_FS,uint,64
SBRX_AUTO_TIMEOUT,uint,32
SBRX_POWER,uint,64
SBRX_FORMAT,uint,160
SBRX_HD_ENABLE,uint,32
SBRX_AUTO,uint,32
SBRX_PRE_LENGTH,uint,32
SBRX_IDLE_TIMEOUT,uint,32
SBRX_ICODE,uint,160
SBRX_SERVO,uint,32
SBRX_GAIN,uint,64
SBRX_TEST_MODE,uint,32
SBRX_IDLE_MODE,uint,160
SBRX_IDLE_ENABLED,uint,32
SBRX_FREQ,uint,64
SBRX_FILT_TYPE,uint,160
SBRX_IDLE_COUNT,uint,32
SBRX_SRC,uint,160
SBRX_INVERSION,uint,64
SBRX_AUTO_PAUSE,uint,32
SBRX_ASM_ATTACH,uint,32
SBRX_OPEN_COUNT,uint,32
SBRX_SPREAD_FACTOR,uint,32
SBRX_BANDWIDTH,uint,64
SBRX_IRATE,uint,64
SBRX_INTERLEAVE,uint,32
SBRX_CMAP,uint,160
SBRX_COMPRESSION_VALID,uint,32
SBRX_PRE_PACKET,uint,160
SBRX_AUTO_PAUSE_DELAY,uint,32
SBRX_ASM,uint,160
ENG_XTS_PADDING,uint,16
ENG_XTS_CKSUM,uint,16
